sample,dataset,type,rotation,bits,dims,recall10,recall100,recall10in100
100k,emb_clip,BFloat16,original,1,128,0.0,0.001,0.0
100k,emb_clip,BFloat16,original,1,256,0.0,0.001,0.0
100k,emb_clip,BFloat16,original,1,384,0.0,0.001,0.0
100k,emb_clip,BFloat16,original,1,512,0.0,0.001,0.0
100k,emb_clip,BFloat16,original,1,640,0.0,0.001,0.0
100k,emb_clip,BFloat16,original,1,768,0.0,0.001,0.0
100k,emb_clip,BFloat16,original,2,128,0.0,0.001,0.0
100k,emb_clip,BFloat16,original,2,256,0.0,0.001,0.0
100k,emb_clip,BFloat16,original,2,384,0.0,0.001,0.0
100k,emb_clip,BFloat16,original,2,512,0.0,0.001,0.0
100k,emb_clip,BFloat16,original,2,640,0.0,0.001,0.0
100k,emb_clip,BFloat16,original,2,768,0.0,0.001,0.0
100k,emb_clip,BFloat16,original,3,128,0.325,0.3055,0.685
100k,emb_clip,BFloat16,original,3,256,0.49,0.4585,0.855
100k,emb_clip,BFloat16,original,3,384,0.535,0.5395,0.895
100k,emb_clip,BFloat16,original,3,512,0.63,0.595,0.965
100k,emb_clip,BFloat16,original,3,640,0.625,0.6445,0.98
100k,emb_clip,BFloat16,original,3,768,0.695,0.6735,0.995
100k,emb_clip,BFloat16,original,4,128,0.325,0.3055,0.685
100k,emb_clip,BFloat16,original,4,256,0.49,0.4585,0.855
100k,emb_clip,BFloat16,original,4,384,0.535,0.5395,0.895
100k,emb_clip,BFloat16,original,4,512,0.63,0.595,0.965
100k,emb_clip,BFloat16,original,4,640,0.625,0.6445,0.98
100k,emb_clip,BFloat16,original,4,768,0.695,0.6735,0.995
100k,emb_clip,BFloat16,original,5,128,0.33,0.306,0.68
100k,emb_clip,BFloat16,original,5,256,0.48,0.459,0.855
100k,emb_clip,BFloat16,original,5,384,0.535,0.543,0.9
100k,emb_clip,BFloat16,original,5,512,0.635,0.597,0.96
100k,emb_clip,BFloat16,original,5,640,0.64,0.646,0.98
100k,emb_clip,BFloat16,original,5,768,0.695,0.6735,0.995
100k,emb_clip,BFloat16,original,6,128,0.435,0.37,0.765
100k,emb_clip,BFloat16,original,6,256,0.53,0.513,0.89
100k,emb_clip,BFloat16,original,6,384,0.565,0.602,0.95
100k,emb_clip,BFloat16,original,6,512,0.66,0.6605,1.0
100k,emb_clip,BFloat16,original,6,640,0.695,0.689,1.0
100k,emb_clip,BFloat16,original,6,768,0.735,0.7245,1.0
100k,emb_clip,BFloat16,original,7,128,0.41,0.362,0.745
100k,emb_clip,BFloat16,original,7,256,0.43,0.4195,0.735
100k,emb_clip,BFloat16,original,7,384,0.51,0.529,0.89
100k,emb_clip,BFloat16,original,7,512,0.55,0.5945,0.895
100k,emb_clip,BFloat16,original,7,640,0.58,0.6245,0.935
100k,emb_clip,BFloat16,original,7,768,0.56,0.5985,0.915
100k,emb_clip,BFloat16,original,8,128,0.4,0.4075,0.785
100k,emb_clip,BFloat16,original,8,256,0.495,0.5125,0.875
100k,emb_clip,BFloat16,original,8,384,0.59,0.6095,0.955
100k,emb_clip,BFloat16,original,8,512,0.41,0.412,0.62
100k,emb_clip,BFloat16,original,8,640,0.495,0.477,0.73
100k,emb_clip,BFloat16,original,8,768,0.4,0.409,0.6
100k,emb_clip,BFloat16,original,9,128,0.475,0.437,0.83
100k,emb_clip,BFloat16,original,9,256,0.57,0.557,0.925
100k,emb_clip,BFloat16,original,9,384,0.625,0.664,0.99
100k,emb_clip,BFloat16,original,9,512,0.64,0.6375,0.92
100k,emb_clip,BFloat16,original,9,640,0.715,0.7145,0.97
100k,emb_clip,BFloat16,original,9,768,0.71,0.6935,0.985
100k,emb_clip,BFloat16,original,10,128,0.485,0.4365,0.82
