corpus,dataset,codec,k,multiplier,candidates,dim,code_bytes,bytes_per_row,quantized,recall_at_k,recall10
hn,bge_large,rabitq,10,1,10,1024,128,535.4,1,0.611,0.611
hn,bge_large,rabitq,10,5,50,1024,128,932.3,1,0.949,0.949
hn,bge_large,rabitq,10,10,100,1024,128,1053.5,1,0.986,0.986
hn,bge_large,rabitq,100,1,100,1024,128,1053.5,1,0.6529,0.986
hn,bge_large,rabitq,100,5,500,1024,128,1108.0,1,0.975,0.999
hn,bge_large,rabitq,100,10,1000,1024,128,1108.0,1,0.9959,1.0
hn,bge_large,rabitq,1000,1,1000,1024,128,1108.0,1,0.6991,1.0
hn,bge_large,rabitq,1000,5,5000,1024,128,1108.0,1,0.992,1.0
hn,bge_large,rabitq,1000,10,10000,1024,128,1108.0,1,0.9994,1.0
hn,bge_large,turboquant,10,1,10,1024,256,627.5,1,0.659,0.659
hn,bge_large,turboquant,10,5,50,1024,256,986.7,1,0.974,0.974
hn,bge_large,turboquant,10,10,100,1024,256,1114.0,1,0.993,0.993
hn,bge_large,turboquant,100,1,100,1024,256,1114.0,1,0.7119,0.993
hn,bge_large,turboquant,100,5,500,1024,256,1170.4,1,0.9914,1.0
hn,bge_large,turboquant,100,10,1000,1024,256,1170.4,1,0.9995,1.0
hn,bge_large,turboquant,1000,1,1000,1024,256,1170.4,1,0.7635,1.0
hn,bge_large,turboquant,1000,5,5000,1024,256,1170.4,1,0.9989,1.0
hn,bge_large,turboquant,1000,10,10000,1024,256,1170.4,1,1.0,1.0
hn,nomic,rabitq,10,1,10,768,96,456.7,1,0.522,0.522
hn,nomic,rabitq,10,5,50,768,96,757.3,1,0.878,0.878
hn,nomic,rabitq,10,10,100,768,96,825.9,1,0.956,0.956
hn,nomic,rabitq,100,1,100,768,96,825.9,1,0.5531,0.956
hn,nomic,rabitq,100,5,500,768,96,835.8,1,0.9095,0.994
hn,nomic,rabitq,100,10,1000,768,96,835.8,1,0.9727,1.0
hn,nomic,rabitq,1000,1,1000,768,96,835.8,1,0.5962,1.0
hn,nomic,rabitq,1000,5,5000,768,96,835.8,1,0.9595,1.0
hn,nomic,rabitq,1000,10,10000,768,96,835.8,1,0.994,1.0
hn,nomic,turboquant,10,1,10,768,192,520.0,1,0.617,0.617
hn,nomic,turboquant,10,5,50,768,192,798.0,1,0.928,0.928
hn,nomic,turboquant,10,10,100,768,192,864.3,1,0.976,0.976
hn,nomic,turboquant,100,1,100,768,192,864.3,1,0.6178,0.976
hn,nomic,turboquant,100,5,500,768,192,882.2,1,0.9612,0.998
hn,nomic,turboquant,100,10,1000,768,192,882.2,1,0.9929,1.0
hn,nomic,turboquant,1000,1,1000,768,192,882.2,1,0.6749,1.0
hn,nomic,turboquant,1000,5,5000,768,192,882.2,1,0.9876,1.0
hn,nomic,turboquant,1000,10,10000,768,192,882.2,1,0.9992,1.0
photos,clip,rabitq,10,1,10,768,96,471.2,1,0.617,0.617
photos,clip,rabitq,10,5,50,768,96,747.7,1,0.946,0.946
photos,clip,rabitq,10,10,100,768,96,829.1,1,0.985,0.985
photos,clip,rabitq,100,1,100,768,96,829.1,1,0.6725,0.985
photos,clip,rabitq,100,5,500,768,96,841.9,1,0.969,0.998
photos,clip,rabitq,100,10,1000,768,96,841.9,1,0.9923,0.998
photos,clip,rabitq,1000,1,1000,768,96,841.9,1,0.6983,0.998
photos,clip,rabitq,1000,5,5000,768,96,841.9,1,0.9843,1.0
photos,clip,rabitq,1000,10,10000,768,96,841.9,1,0.9976,1.0
photos,clip,turboquant,10,1,10,768,192,537.3,1,0.613,0.613
photos,clip,turboquant,10,5,50,768,192,806.6,1,0.955,0.955
photos,clip,turboquant,10,10,100,768,192,873.8,1,0.987,0.987
photos,clip,turboquant,100,1,100,768,192,873.8,1,0.7033,0.987
photos,clip,turboquant,100,5,500,768,192,888.4,1,0.9852,1.0
photos,clip,turboquant,100,10,1000,768,192,888.4,1,0.9969,1.0
photos,clip,turboquant,1000,1,1000,768,192,888.4,1,0.7448,1.0
photos,clip,turboquant,1000,5,5000,768,192,888.4,1,0.9947,1.0
photos,clip,turboquant,1000,10,10000,768,192,888.4,1,0.9995,1.0
photos,nomic,rabitq,10,1,10,768,96,462.9,1,0.565,0.565
photos,nomic,rabitq,10,5,50,768,96,753.5,1,0.916,0.916
photos,nomic,rabitq,10,10,100,768,96,831.5,1,0.96,0.96
photos,nomic,rabitq,100,1,100,768,96,831.5,1,0.6191,0.96
photos,nomic,rabitq,100,5,500,768,96,841.9,1,0.943,0.997
photos,nomic,rabitq,100,10,1000,768,96,841.9,1,0.9798,0.997
photos,nomic,rabitq,1000,1,1000,768,96,841.9,1,0.6363,0.997
photos,nomic,rabitq,1000,5,5000,768,96,841.9,1,0.9636,1.0
photos,nomic,rabitq,1000,10,10000,768,96,841.9,1,0.9931,1.0
photos,nomic,turboquant,10,1,10,768,192,525.3,1,0.445,0.445
photos,nomic,turboquant,10,5,50,768,192,798.7,1,0.783,0.783
photos,nomic,turboquant,10,10,100,768,192,872.3,1,0.88,0.88
photos,nomic,turboquant,100,1,100,768,192,872.3,1,0.5537,0.88
photos,nomic,turboquant,100,5,500,768,192,888.4,1,0.8965,0.993
photos,nomic,turboquant,100,10,1000,768,192,888.4,1,0.9607,0.999
photos,nomic,turboquant,1000,1,1000,768,192,888.4,1,0.6041,0.999
photos,nomic,turboquant,1000,5,5000,768,192,888.4,1,0.9464,1.0
photos,nomic,turboquant,1000,10,10000,768,192,888.4,1,0.9883,1.0
photos,siglip2,rabitq,10,1,10,1152,144,579.4,1,0.68,0.68
photos,siglip2,rabitq,10,5,50,1152,144,1019.2,1,0.971,0.971
photos,siglip2,rabitq,10,10,100,1152,144,1180.7,1,0.988,0.988
photos,siglip2,rabitq,100,1,100,1152,144,1180.7,1,0.7122,0.988
photos,siglip2,rabitq,100,5,500,1152,144,1252.8,1,0.9853,1.0
photos,siglip2,rabitq,100,10,1000,1152,144,1252.8,1,0.9976,1.0
photos,siglip2,rabitq,1000,1,1000,1152,144,1252.8,1,0.7358,1.0
photos,siglip2,rabitq,1000,5,5000,1152,144,1252.8,1,0.9933,1.0
photos,siglip2,rabitq,1000,10,10000,1152,144,1252.8,1,0.9992,1.0
photos,siglip2,turboquant,10,1,10,1152,288,685.1,1,0.659,0.659
photos,siglip2,turboquant,10,5,50,1152,288,1105.3,1,0.97,0.97
photos,siglip2,turboquant,10,10,100,1152,288,1256.4,1,0.989,0.989
photos,siglip2,turboquant,100,1,100,1152,288,1256.4,1,0.7011,0.989
photos,siglip2,turboquant,100,5,500,1152,288,1323.2,1,0.9861,0.998
photos,siglip2,turboquant,100,10,1000,1152,288,1323.2,1,0.9975,1.0
photos,siglip2,turboquant,1000,1,1000,1152,288,1323.2,1,0.7454,1.0
photos,siglip2,turboquant,1000,5,5000,1152,288,1323.2,1,0.9952,1.0
photos,siglip2,turboquant,1000,10,10000,1152,288,1323.2,1,0.9997,1.0
web,img_siglip2,rabitq,10,1,10,1152,144,591.7,1,0.615,0.615
web,img_siglip2,rabitq,10,5,50,1152,144,999.7,1,0.941,0.941
web,img_siglip2,rabitq,10,10,100,1152,144,1146.3,1,0.978,0.978
web,img_siglip2,rabitq,100,1,100,1152,144,1146.3,1,0.6474,0.978
web,img_siglip2,rabitq,100,5,500,1152,144,1252.8,1,0.9627,0.999
web,img_siglip2,rabitq,100,10,1000,1152,144,1253.5,1,0.9919,1.0
web,img_siglip2,rabitq,1000,1,1000,1152,144,1253.5,1,0.6934,1.0
web,img_siglip2,rabitq,1000,5,5000,1152,144,1253.5,1,0.9854,1.0
web,img_siglip2,rabitq,1000,10,10000,1152,144,1253.5,1,0.9989,1.0
web,img_siglip2,turboquant,10,1,10,1152,288,698.8,1,0.609,0.609
web,img_siglip2,turboquant,10,5,50,1152,288,1067.4,1,0.932,0.932
web,img_siglip2,turboquant,10,10,100,1152,288,1212.3,1,0.983,0.983
web,img_siglip2,turboquant,100,1,100,1152,288,1212.3,1,0.6529,0.983
web,img_siglip2,turboquant,100,5,500,1152,288,1322.1,1,0.9694,1.0
web,img_siglip2,turboquant,100,10,1000,1152,288,1323.7,1,0.9943,1.0
web,img_siglip2,turboquant,1000,1,1000,1152,288,1323.7,1,0.7059,1.0
web,img_siglip2,turboquant,1000,5,5000,1152,288,1323.7,1,0.9901,1.0
web,img_siglip2,turboquant,1000,10,10000,1152,288,1323.7,1,0.9995,1.0
web,txt_bge_large,rabitq,10,1,10,1024,128,571.3,1,0.604,0.604
web,txt_bge_large,rabitq,10,5,50,1024,128,942.5,1,0.94,0.94
web,txt_bge_large,rabitq,10,10,100,1024,128,1056.3,1,0.988,0.988
web,txt_bge_large,rabitq,100,1,100,1024,128,1056.3,1,0.6457,0.988
web,txt_bge_large,rabitq,100,5,500,1024,128,1114.9,1,0.9707,1.0
web,txt_bge_large,rabitq,100,10,1000,1024,128,1115.3,1,0.995,1.0
web,txt_bge_large,rabitq,1000,1,1000,1024,128,1115.3,1,0.7053,1.0
web,txt_bge_large,rabitq,1000,5,5000,1024,128,1115.3,1,0.9894,1.0
web,txt_bge_large,rabitq,1000,10,10000,1024,128,1115.3,1,0.9992,1.0
web,txt_bge_large,turboquant,10,1,10,1024,256,663.1,1,0.63,0.63
web,txt_bge_large,turboquant,10,5,50,1024,256,997.4,1,0.96,0.96
web,txt_bge_large,turboquant,10,10,100,1024,256,1109.0,1,0.992,0.992
web,txt_bge_large,turboquant,100,1,100,1024,256,1109.0,1,0.6991,0.992
web,txt_bge_large,turboquant,100,5,500,1024,256,1177.1,1,0.989,1.0
web,txt_bge_large,turboquant,100,10,1000,1024,256,1177.4,1,0.9992,1.0
web,txt_bge_large,turboquant,1000,1,1000,1024,256,1177.4,1,0.7683,1.0
web,txt_bge_large,turboquant,1000,5,5000,1024,256,1177.4,1,0.9984,1.0
web,txt_bge_large,turboquant,1000,10,10000,1024,256,1177.5,1,1.0,1.0
